ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030312	external encapsulating structure	146/2566	299/12161	4.14419339900835e-27	1.33443027448069e-24	1.26288840948728e-24	A1BG/A2M/ACHE/AEBP1/ANGPT1/ANXA2/APOE/BMP7/SERPING1/C1QB/C1QC/CDH13/CTSC/CHI3L1/CLU/COL1A2/COL4A1/COL4A2/COL4A3/COL4A4/COL5A1/COL5A2/COL6A1/COL9A1/COL9A2/COL9A3/COL11A1/COL11A2/HAPLN1/VCAN/CSTB/CTSS/CTSZ/DCN/COCH/ECM1/EFNA5/SERPINB1/ELN/F3/F12/F13A1/FBLN1/FBLN2/EFEMP1/GPC5/HPX/HSP90AA1/TNC/IGFBP7/CCN1/ITIH4/LAMA3/LAMA4/LAMB3/LGALS3/LGALS3BP/LGALS9/LOXL2/LTBP2/MATN2/MFGE8/MMP14/MMP15/MMP17/NID1/SERPINB6/SERPINB9/SERPINF2/PLSCR1/PRELP/RELN/RARRES2/S100A6/SPARC/TGFB1/TGFB2/TGFB3/THBS2/THBS4/TIMP3/TLR3/CLEC3B/TNR/COL14A1/VEGFA/WNT3/WNT5A/WNT7A/WNT2B/PXDN/DGCR6/LTBP4/FCGBP/NTN1/ADAMTS1/ADAMTSL2/TRIL/GPC6/LRRC17/SPON2/ADAMTS5/ADAMTS6/NTNG1/ANGPTL4/ADAMTS9/COL20A1/NTN4/BCAN/VWA1/LRRTM4/ITIH5/COL18A1/GFOD2/KAZALD1/ADAMTS10/CRISPLD2/HMCN1/EMILIN2/COL25A1/LINGO1/COL27A1/NAV2/PAPLN/ELFN2/NTN5/PODN/EMID1/FBLN7/CHADL/CCDC80/LINGO2/FREM1/CLEC14A/OLFML2A/NPNT/HMCN2/OTOGL/C17orf58/LAMA1/COL28A1/FREM2/LRRTM3/VWC2/AGRN/LINGO3	146
GO:0031012	extracellular matrix	146/2566	299/12161	4.14419339900835e-27	1.33443027448069e-24	1.26288840948728e-24	A1BG/A2M/ACHE/AEBP1/ANGPT1/ANXA2/APOE/BMP7/SERPING1/C1QB/C1QC/CDH13/CTSC/CHI3L1/CLU/COL1A2/COL4A1/COL4A2/COL4A3/COL4A4/COL5A1/COL5A2/COL6A1/COL9A1/COL9A2/COL9A3/COL11A1/COL11A2/HAPLN1/VCAN/CSTB/CTSS/CTSZ/DCN/COCH/ECM1/EFNA5/SERPINB1/ELN/F3/F12/F13A1/FBLN1/FBLN2/EFEMP1/GPC5/HPX/HSP90AA1/TNC/IGFBP7/CCN1/ITIH4/LAMA3/LAMA4/LAMB3/LGALS3/LGALS3BP/LGALS9/LOXL2/LTBP2/MATN2/MFGE8/MMP14/MMP15/MMP17/NID1/SERPINB6/SERPINB9/SERPINF2/PLSCR1/PRELP/RELN/RARRES2/S100A6/SPARC/TGFB1/TGFB2/TGFB3/THBS2/THBS4/TIMP3/TLR3/CLEC3B/TNR/COL14A1/VEGFA/WNT3/WNT5A/WNT7A/WNT2B/PXDN/DGCR6/LTBP4/FCGBP/NTN1/ADAMTS1/ADAMTSL2/TRIL/GPC6/LRRC17/SPON2/ADAMTS5/ADAMTS6/NTNG1/ANGPTL4/ADAMTS9/COL20A1/NTN4/BCAN/VWA1/LRRTM4/ITIH5/COL18A1/GFOD2/KAZALD1/ADAMTS10/CRISPLD2/HMCN1/EMILIN2/COL25A1/LINGO1/COL27A1/NAV2/PAPLN/ELFN2/NTN5/PODN/EMID1/FBLN7/CHADL/CCDC80/LINGO2/FREM1/CLEC14A/OLFML2A/NPNT/HMCN2/OTOGL/C17orf58/LAMA1/COL28A1/FREM2/LRRTM3/VWC2/AGRN/LINGO3	146
GO:0062023	collagen-containing extracellular matrix	117/2566	233/12161	3.07351720045961e-23	6.5978169236533e-21	6.24409283882848e-21	A1BG/A2M/ACHE/AEBP1/ANGPT1/ANXA2/APOE/BMP7/SERPING1/C1QB/C1QC/CDH13/CTSC/CLU/COL1A2/COL4A1/COL4A2/COL4A3/COL4A4/COL5A1/COL5A2/COL6A1/COL9A1/COL9A2/COL9A3/COL11A1/COL11A2/HAPLN1/VCAN/CSTB/CTSS/CTSZ/DCN/COCH/ECM1/EFNA5/SERPINB1/ELN/F3/F12/F13A1/FBLN1/FBLN2/EFEMP1/GPC5/HPX/HSP90AA1/TNC/IGFBP7/CCN1/ITIH4/LAMA3/LAMA4/LAMB3/LGALS3/LGALS3BP/LGALS9/LOXL2/LTBP2/MATN2/MFGE8/NID1/SERPINB6/SERPINB9/SERPINF2/PLSCR1/PRELP/RARRES2/S100A6/SPARC/TGFB1/TGFB2/TGFB3/THBS2/THBS4/TIMP3/CLEC3B/TNR/COL14A1/WNT5A/WNT2B/PXDN/LTBP4/NTN1/ADAMTS1/GPC6/ADAMTS5/NTNG1/ANGPTL4/ADAMTS9/COL20A1/NTN4/BCAN/VWA1/ITIH5/COL18A1/KAZALD1/ADAMTS10/HMCN1/EMILIN2/COL25A1/COL27A1/NAV2/NTN5/PODN/CHADL/CCDC80/FREM1/CLEC14A/NPNT/HMCN2/C17orf58/LAMA1/COL28A1/FREM2/VWC2/AGRN	117
GO:0009986	cell surface	163/2566	459/12161	2.8672765035843e-13	4.61631517077072e-11	4.3688239357245e-11	ABCA1/ACHE/ANXA2/FAS/AQP4/ATP1B2/AXL/BMP2/C3/CD34/CD38/CD40/CDH13/CHRNA4/CLU/ACKR2/CPM/CSF1R/CSF3R/CTSK/CX3CR1/CD55/ACE/HBEGF/EFNA5/EGFR/EMP2/F3/FGFR3/GPC5/FUT4/B4GALT1/H1-1/HLA-A/HLA-B/HLA-DPA1/HLA-DPB1/HLA-DRA/MR1/HMGB1/HSP90AA1/IL4R/IL6R/ITGA6/ITGA2/ITGA2B/ITGA4/ITGA5/ITGA9/ITGAM/ITGAX/ITGB5/KCNE1/KCNH2/KCNK2/KDR/KIT/KLRD1/LDLR/LEPR/LGALS3/LIFR/LPL/LRP2/EPCAM/MCAM/MFGE8/MELTF/MICB/MIF/MRC1/MST1R/ROR1/NTSR1/P2RY1/FURIN/PAM/ABCB1/SERPINF2/PTGFRN/PTPRC/SLC1A2/SLC1A4/SLC3A2/SLC6A1/SPARC/TACR1/TEK/TFR2/TGFB1/TGFB3/TGFBR2/TNFRSF1A/TNR/TRPC4/VCAM1/VEGFA/WNT5A/WNT7A/PXDN/FZD5/CUBN/FZD1/ITGA8/AOC3/TNFRSF10B/BSN/LPAR2/OSMR/CD163/ITGBL1/LIPG/IL27RA/GPC6/ABCC4/RAMP2/CD226/IQGAP2/FERMT2/WIF1/TSPAN15/SLC7A11/CLIC4/KCNH5/CD274/CLEC4A/GP6/SPA17/PACC1/LRRC8A/RGMA/ADAMTS9/ACKR3/ADGRG6/DSCAML1/ISLR2/LRFN1/HHIP/CD276/LY6G5C/SLC38A1/TSPAN14/ADGRV1/HAVCR2/TMEM123/TMC1/CD200R1/UNC5D/SLC32A1/BTNL9/CLEC14A/STRC/ADGRA3/ADGRF5/VWDE/AQP11/CLEC4G/TSPAN33/RSPO2/SCART1/CD24/MICA/TGFBR3L	163
GO:0005604	basement membrane	38/2566	71/12161	1.78804507072821e-09	2.30300205109794e-07	2.17953283358239e-07	ACHE/ANXA2/COL4A1/COL4A2/COL4A3/COL4A4/COL5A1/COL9A1/COL9A3/EFNA5/FBLN1/TNC/LAMA3/LAMA4/LAMB3/LOXL2/NID1/SPARC/THBS2/THBS4/TIMP3/PXDN/NTN1/ADAMTS1/NTNG1/NTN4/VWA1/COL18A1/HMCN1/NTN5/CCDC80/FREM1/NPNT/LAMA1/COL28A1/FREM2/VWC2/AGRN	38
GO:0009897	external side of plasma membrane	66/2566	166/12161	2.96421690085142e-08	3.18159280691386e-06	3.01102032560171e-06	ABCA1/FAS/AQP4/ATP1B2/CD34/CD40/CDH13/CHRNA4/ACKR2/CSF3R/CTSK/CX3CR1/ACE/EFNA5/F3/B4GALT1/MR1/IL4R/IL6R/ITGA6/ITGA2/ITGA2B/ITGA4/ITGA5/ITGA9/ITGAM/ITGAX/KDR/KIT/KLRD1/LDLR/LEPR/LIFR/LRP2/MCAM/MFGE8/MICB/ABCB1/PTPRC/TFR2/TGFBR2/VCAM1/CUBN/ITGA8/OSMR/CD163/IL27RA/ABCC4/CD226/CD274/CLEC4A/SPA17/ACKR3/CD276/LY6G5C/SLC38A1/TMEM123/TMC1/CD200R1/BTNL9/CLEC14A/ADGRA3/CLEC4G/SCART1/CD24/MICA	66
GO:0072562	blood microparticle	29/2566	53/12161	7.85189992326533e-08	7.2237479294041e-06	6.83646624897838e-06	A1BG/A2M/ACTB/APOE/BCHE/SERPING1/C1QB/C1QC/C1R/C3/C4A/C4B/CLU/STOM/F13A1/CFH/HPX/HSPA1A/HSPA1B/HSPA1L/ITGA2B/ITIH4/LGALS3BP/PFN1/SERPINF2/TGFB1/CIB2/ANGPTL4/ZNF559-ZNF177	29
GO:0005581	collagen trimer	25/2566	43/12161	1.25712361851088e-07	9.25768750748611e-06	8.76136166530641e-06	C1QB/C1QC/COL1A2/COL4A1/COL4A2/COL4A3/COL4A4/COL5A1/COL5A2/COL6A1/COL9A1/COL9A2/COL9A3/COL11A1/COL11A2/COL14A1/COL20A1/COL18A1/EMILIN2/COL25A1/COL27A1/C1QTNF6/EMID1/COL28A1/SFTPA2	25
GO:0043235	receptor complex	92/2566	264/12161	1.29377620446234e-07	9.25768750748611e-06	8.76136166530641e-06	ACVR1/ADRA2A/ADRB2/AHR/AXL/BMP2/BMPR1B/DDR1/CD247/CD40/CHRNA4/CHRNA7/CHRNB1/CSF1R/CSF3R/EGFR/EPHB3/EPHB6/FGFR1/FGFR3/FGFR4/FLT1/GABRA1/GABRA2/GABRA6/GABRG1/GRIK3/GRIN2C/IKBKB/IL4R/IL6R/ITGA6/ITGA2/ITGA2B/ITGA4/ITGA5/ITGA9/ITGAM/ITGAX/ITGB5/KDR/KIT/KLRD1/LDLR/LEPR/LIFR/LRP2/LRP5/MST1R/ROR1/PPARG/PTH1R/PTPN6/RXRA/TEK/TFR2/TGFBR2/TIE1/TM7SF2/TNFRSF1A/TRAF1/TRAF3/TRAF5/CUBN/ITGA8/RIPK1/P2RX6/OSMR/GPR37L1/ITGBL1/IL27RA/TRAF4/TRIL/NR1H3/CALCRL/RAMP2/PLXND1/LY96/PEX5L/APBB1IP/BMAL2/AHRR/ADGRV1/GRIN3A/GPR62/CD200R1/CNIH3/IFNLR1/CNIH2/PTPRQ/VWC2/SHISA6	92
GO:0005788	endoplasmic reticulum lumen	69/2566	200/12161	6.95879091884876e-06	0.00044814613517386	0.000424119993896151	APOB/APOE/BCHE/SERPING1/C3/C4A/CASQ1/CTSC/CLU/COL1A2/COL4A1/COL4A2/COL4A3/COL4A4/COL5A1/COL5A2/COL6A1/COL9A1/COL9A2/COL9A3/COL11A1/COL11A2/VCAN/CTSZ/EDN1/GPX7/TNC/IGFBP3/IGFBP5/IGFBP7/CCN1/MFGE8/MELTF/RCN1/RDH5/SPP1/COL14A1/VGF/WNT3/WNT5A/WNT7A/SCG2/MINPP1/PDIA5/SLC27A2/ADAMTS5/COLGALT2/CES3/TSPAN15/SDF2L1/SUMF2/CERCAM/TMEM132A/CLN6/MYDGF/COL20A1/FKBP10/TOR3A/VWA1/POGLUT2/COL18A1/TSPAN14/COL25A1/COL27A1/POGLUT3/ARSK/EOGT/COL28A1/TSPAN33	69
