Tissue	Cell_type	OR	PValue	FDR	Direction
Caudate	MG2	0.8336241753564588	0.46907120455084056	0.7033233262913144	Up
Caudate	MG4	0.873015873015873	0.5157704392802972	0.7033233262913144	Up
Caudate	MG0	1.3455278697969177	0.20221693463285917	0.37915675243661096	Up
Caudate	MG3	1.0924045064172452	0.6367614520785105	0.7959518150981382	Up
Caudate	MG1	1.058267716535433	0.8246615506891258	0.8534517163410786	Up
Caudate	MG2	0.5897241709183674	0.02369782127325404	0.10199976226512347	Down
Caudate	MG4	1.0420100207388918	0.8534517163410786	0.8534517163410786	Down
Caudate	MG0	1.545731707317073	0.056588289969693104	0.14147072492423274	Down
Caudate	MG3	0.6497594226142742	0.08544903965394325	0.18310508497273553	Down
Caudate	MG1	1.6625200642054574	0.009005370477834198	0.10199976226512347	Down
Caudate	MG2	0.70608820956204	0.02869855895355894	0.10199976226512347	All
Caudate	MG4	0.955402897057648	0.7932587799624867	0.8534517163410786	All
Caudate	MG0	1.4439804253440283	0.030158272198954603	0.10199976226512347	All
Caudate	MG3	0.888558201058201	0.4373589688248657	0.7033233262913144	All
Caudate	MG1	1.3543025196932548	0.03399992075504116	0.10199976226512347	All
Dentate Gyrus	MG2	0.9422399566491786	0.8356955159951843	0.8953880528519832	Up
Dentate Gyrus	MG4	0.6659259259259259	0.05493542952979641	0.16480628858938923	Up
Dentate Gyrus	MG0	2.147126436781609	0.0008869755560360935	0.006652316670270701	Up
Dentate Gyrus	MG3	0.7391742411250214	0.19248019082888995	0.28872028624333496	Up
Dentate Gyrus	MG1	1.3730499042058206	0.12420414844110611	0.22376861858110392	Up
Dentate Gyrus	MG2	0.6151368760064412	0.05208663076857512	0.16480628858938923	Down
Dentate Gyrus	MG4	0.9307793655619743	0.7761339951463898	0.8953880528519832	Down
Dentate Gyrus	MG0	1.6944690265486726	0.025157961509247602	0.125789807546238	Down
Dentate Gyrus	MG3	0.994096160380564	1.0	1.0	Down
Dentate Gyrus	MG1	1.1806147032341274	0.4404540456210634	0.5505675570263292	Down
Dentate Gyrus	MG2	0.7810176483308106	0.13426117114866234	0.22376861858110392	All
Dentate Gyrus	MG4	0.7872137404580153	0.09278595609787683	0.2208554703444285	All
Dentate Gyrus	MG0	1.9034830526096902	8.854195333430267e-05	0.00132812930001454	All
Dentate Gyrus	MG3	0.861969851814001	0.3457285314513624	0.47144799743367605	All
Dentate Gyrus	MG1	1.2706344068619517	0.10306588616073331	0.2208554703444285	All
DLPFC	MG2	0.8453591160220995	0.5622032101191858	0.6023605822705562	Up
DLPFC	MG4	0.7140854362526802	0.1483526493525555	0.24725441558759248	Up
DLPFC	MG0	2.224689073902765	0.0009490913163036621	0.007118184872277466	Up
DLPFC	MG3	0.7761447545353748	0.32785390255524893	0.40981737819406117	Up
DLPFC	MG1	1.1720279263995823	0.4686569862519374	0.5407580610599277	Up
DLPFC	MG2	0.6501427755568246	0.1390951106081882	0.24725441558759248	Down
DLPFC	MG4	0.997523603157406	1.0	1.0	Down
DLPFC	MG0	1.543981234673206	0.1216581138505902	0.24725441558759248	Down
DLPFC	MG3	0.7145796590241035	0.26471319800460225	0.39379632868176695	Down
DLPFC	MG1	1.5447551135297428	0.07406708582572458	0.24725441558759248	Down
DLPFC	MG2	0.7467839932956212	0.12879282045918264	0.24725441558759248	All
DLPFC	MG4	0.8360897106659818	0.28878397436662906	0.39379632868176695	All
DLPFC	MG0	1.8936339557156092	0.0005208694087224374	0.007118184872277466	All
DLPFC	MG3	0.7567617222871091	0.12039758167398423	0.24725441558759248	All
DLPFC	MG1	1.3308370044052864	0.08047359387027261	0.24725441558759248	All
Hippocampus	MG2	1.2622556390977444	0.29982507233823863	0.40885237137032543	Up
Hippocampus	MG4	0.6462772050400917	0.055122365164113014	0.11811935392309932	Up
Hippocampus	MG0	1.9146039603960396	0.00980459597568262	0.0490229798784131	Up
Hippocampus	MG3	0.7960526315789473	0.3832051778577048	0.479006472322131	Up
Hippocampus	MG1	1.0693069306930694	0.8104285756628006	0.8285796675961248	Up
Hippocampus	MG2	0.6601215521271622	0.12687840833045938	0.19031761249568907	Down
Hippocampus	MG4	0.9252164041436072	0.8285796675961248	0.8285796675961248	Down
Hippocampus	MG0	1.6111111111111112	0.07929559224370303	0.14867923545694317	Down
Hippocampus	MG3	0.5551950464396285	0.03513699625445463	0.1009215795523378	Down
Hippocampus	MG1	1.8106362910832186	0.007176504643484686	0.0490229798784131	Down
Hippocampus	MG2	0.9394006906538933	0.7433475564381111	0.8285796675961248	All
Hippocampus	MG4	0.7710383207431388	0.10440915659946878	0.17401526099911466	All
Hippocampus	MG0	1.7568007779263402	0.001605024664125481	0.024075369961882215	All
Hippocampus	MG3	0.6814003710800863	0.03126540509429643	0.1009215795523378	All
Hippocampus	MG1	1.3973638720829733	0.04036863182093512	0.1009215795523378	All
