ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO:0005790	smooth endoplasmic reticulum	27	0.683820391201689	2.01872231912793	0.000332015482855072	0.156258085965198	0.156258085965198	1281	tags=26%, list=10%, signal=23%	RPL10/RYR3/SLMAP/RYR2/RYR1/HYOU1/CANX
GO:0097504	Gemini of coiled bodies	11	-0.824642298700473	-1.80361348291434	0.000472792998381839	0.156258085965198	0.156258085965198	2015	tags=64%, list=15%, signal=54%	GEMIN2/ZPR1/GEMIN5/GEMIN8/NPAT/HABP4/SMN1
GO:0031306	intrinsic component of mitochondrial outer membrane	23	-0.679701031302712	-1.77704424503515	0.00111407159047617	0.244265899106915	0.244265899106915	1828	tags=30%, list=14%, signal=26%	MFN1/BAK1/TOMM40/ABCB6/RHOT2/SPIRE1/MFF
GO:0031307	integral component of mitochondrial outer membrane	22	-0.685882553241283	-1.77507280173655	0.00147815975253807	0.244265899106915	0.244265899106915	1828	tags=32%, list=14%, signal=27%	MFN1/BAK1/TOMM40/ABCB6/RHOT2/SPIRE1/MFF
GO:0034719	SMN-Sm protein complex	16	-0.711747607014524	-1.71678312310149	0.00286081138405154	0.378199264971613	0.378199264971613	2015	tags=25%, list=15%, signal=21%	GEMIN2/GEMIN5/GEMIN8/SMN1
GO:0005635	nuclear envelope	380	-0.340791548208883	-1.31760293907901	0.00819366259944798	0.727477975573682	0.727477975573682	2623	tags=27%, list=20%, signal=22%	LMNB1/MTDH/IPO8/BCL2/IFI27/KLHDC2/RRM1/FAM156A/GTPBP4/XPOT/NDEL1/QRICH2/TENT4A/TMEM43/NUP133/ITSN1/SENP1/DNAJC2/SEPHS1/TRIM27/SPAST/SIGMAR1/CEPT1/MTOR/CASC3/PLRG1/LEMD2/RB1CC1/MATR3/NUP188/PLA2G4C/ATP11B/SYNE2/SYNE1/CC2D1B/SEC13/POLA1/WDFY3/ROGDI/INTS2/APP/CPNE1/NUP214/EBP/NUTF2/YBX1/AHCTF1/FANCL/ITGB4/IRAG2/DDX19B/PHF8/PHF11/MTA1/AK9/MRPS14/MYO6/NUP205/SUN2/QSOX2/GTF3C3/RAB40B/BNIP2/CTDNEP1/NUP160/RANBP2/CPTP/IPO5/SLC30A1/CCAR1/CLCC1/LBR/XPO4/TMEM18/SPIN1/LRPPRC/ZNF383/AGPAT3/POLR2M/POM121/EI24/PCM1/BCL2L1/TOR3A/LMNB2/IGF2R/TMPO/NSMF/UBE2I/NPAP1/NUP210/NUP107/NPIPA1/NUP54/APEH/INTS1/DPY19L2/NUP85/TNRC18/MX1/RGPD5/GPX4
GO:0016363	nuclear matrix	95	-0.424042644875834	-1.44169804238847	0.00880693891114084	0.727477975573682	0.727477975573682	2994	tags=41%, list=23%, signal=32%	KIN/NUMA1/RUVBL2/HNRNPM/HAT1/TINF2/MORC2/ATXN7/LMNB1/ERCC8/XPOT/SRRM1/DCAF7/PHB2/MATR3/YY1/POLA1/ATXN1/PAXIP1/BASP1/AHCTF1/STAG1/SFPQ/CASK/ATN1/FIGN/MEN1/PHACTR3/HNRNPU/VIM/SMC3/SPTBN4/RGS12/CHMP1A/SORBS1/NSMF/TENM1/CXXC1/THOC1
GO:1990498	mitotic spindle microtubule	11	-0.740130840426207	-1.61877454626942	0.00931995498285588	0.727477975573682	0.727477975573682	1292	tags=45%, list=10%, signal=41%	HAUS4/HAUS2/CEP295/HNRNPU/TUBG1
GO:0030867	rough endoplasmic reticulum membrane	24	-0.611316606898785	-1.61762956058939	0.01051195633715	0.727477975573682	0.727477975573682	1146	tags=21%, list=9%, signal=19%	PLOD2/RPS26/CCDC47/PI4KB/RPS28
GO:0022625	cytosolic large ribosomal subunit	54	0.460365911117967	1.60119925838841	0.0110057182386336	0.727477975573682	0.727477975573682	1	tags=2%, list=0%, signal=2%	RPL10
GO:0031965	nuclear membrane	242	-0.355121222964922	-1.33735624140446	0.013750047877646	0.751570057834108	0.751570057834108	2623	tags=28%, list=20%, signal=23%	LMNB1/MTDH/BCL2/IFI27/KLHDC2/GTPBP4/QRICH2/TENT4A/TMEM43/NUP133/SENP1/DNAJC2/SEPHS1/TRIM27/SPAST/SIGMAR1/CEPT1/CASC3/PLRG1/LEMD2/RB1CC1/MATR3/ATP11B/SYNE2/SYNE1/WDFY3/INTS2/CPNE1/NUTF2/YBX1/AHCTF1/ITGB4/PHF8/PHF11/AK9/MRPS14/MYO6/NUP205/SUN2/QSOX2/GTF3C3/CTDNEP1/RANBP2/CPTP/SLC30A1/CLCC1/LBR/TMEM18/SPIN1/LRPPRC/ZNF383/POM121/EI24/PCM1/BCL2L1/LMNB2/NSMF/NPAP1/NUP210/NUP107/NPIPA1/NUP54/APEH/INTS1/DPY19L2/NUP85/TNRC18/MX1
GO:0032993	protein-DNA complex	123	-0.403760203381158	-1.416042009333	0.0146502850277543	0.751570057834108	0.751570057834108	2449	tags=33%, list=19%, signal=27%	GTF2E1/H4-16/POT1/H2BC7/XRCC5/H2BC8/H2AC21/H2AJ/H4C11/GTF2F2/CTNNB1/SHPRH/TINF2/MCM6/GTF2A1/RPA1/POLA2/POLD3/POLA1/MACROH2A2/GTF2H3/H2BU1/SP3/NUPR1/NFYC/MCM4/PRKDC/MED1/ORC3/RPA3/DONSON/EP300/ST18/RAD52/SPHK2/H4C2/HP1BP3/CTC1/ACD/WDR18/MACROH2A1
GO:0034399	nuclear periphery	113	-0.418576401655251	-1.45272393478857	0.0155881932033601	0.751570057834108	0.751570057834108	2994	tags=37%, list=23%, signal=29%	RUVBL2/HNRNPM/HAT1/TINF2/MORC2/ATXN7/LMNB1/ERCC8/XPOT/SRRM1/DCAF7/PHB2/MATR3/YY1/POLA1/ATXN1/PAXIP1/BASP1/AHCTF1/STAG1/SFPQ/CASK/ATN1/FIGN/NARF/PRR14/MEN1/NUP205/ANAPC4/PHACTR3/HNRNPU/VIM/SMC3/SPTBN4/RGS12/CHMP1A/SORBS1/NSMF/TENM1/CXXC1/NUP107/THOC1
GO:0030894	replisome	13	-0.671401524295392	-1.5365169394246	0.0159182765653215	0.751570057834108	0.751570057834108	2343	tags=46%, list=18%, signal=38%	RPA1/POLA2/POLD3/POLA1/RPA3/DONSON
GO:0120293	dynein axonemal particle	13	-0.661454220614258	-1.51375231936553	0.0187906975360623	0.821342816922556	0.821342816922556	2137	tags=54%, list=16%, signal=45%	RUVBL2/DNAAF10/NME9/DNAAF5/DNALI1/HSP90AB1/WDR18
GO:0030669	clathrin-coated endocytic vesicle membrane	40	0.440986851215081	1.45774400660313	0.0199020855152065	0.821342816922556	0.821342816922556	1245	tags=20%, list=9%, signal=18%	HLA-DPA1/HLA-DRB1/SLC2A8/EPN2/LDLR/HLA-DPB1/AP2S1/WNT5A
