ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO:0034237	protein kinase A regulatory subunit binding	22	0.865207396624734	1.65863042784354	0.00234678997598526	0.975623409669211	0.975623409669211	3	tags=5%, list=0%, signal=5%	SPATC1L
GO:0005384	manganese ion transmembrane transporter activity	10	0.916195336283011	1.5629163187059	0.0062549806328386	0.975623409669211	0.975623409669211	115	tags=20%, list=1%, signal=20%	SLC11A1/ATP2C2
GO:0051959	dynein light intermediate chain binding	25	0.825202385856125	1.60892226088355	0.0070018378253202	0.975623409669211	0.975623409669211	848	tags=20%, list=6%, signal=19%	DNAH2/DNAH8/DNAH14/RILP/DNAH9
GO:0023026	MHC class II protein complex binding	17	0.878966174706989	1.62073847186001	0.00733195279122555	0.975623409669211	0.975623409669211	652	tags=41%, list=5%, signal=39%	HLA-DQB1/HLA-DPA1/HLA-DRB1/CD74/HLA-DMA/HLA-DRA/HLA-DPB1
GO:0017070	U6 snRNA binding	16	0.885987665930409	1.62433899571504	0.007585457878764	0.975623409669211	0.975623409669211	156	tags=12%, list=1%, signal=12%	RNU4-1/RNU4-2
GO:0043022	ribosome binding	63	0.69137354440769	1.56580130207583	0.00833964490467998	0.975623409669211	0.975623409669211	1168	tags=8%, list=8%, signal=7%	NOMO3/EIF3C/EIF5AL1/HSPA5/MTIF3
GO:0008173	RNA methyltransferase activity	64	-0.674534861556988	-1.55041747761651	0.00838611767751764	0.975623409669211	0.975623409669211	2312	tags=30%, list=17%, signal=25%	TRMT1L/NSUN6/LCMT2/WDR4/CMTR2/FBL/MRM3/METTL1/NSUN3/THUMPD2/EMG1/TRMT2B/FBLL1/MEPCE/METTL4/TFB1M/FTSJ3/DIMT1/FDXACB1
GO:0022889	serine transmembrane transporter activity	10	0.90874322570819	1.55020393656975	0.0091624955732881	0.975623409669211	0.975623409669211	670	tags=20%, list=5%, signal=19%	SLC38A5/SLC7A10
GO:0004888	transmembrane signaling receptor activity	460	0.462925685779218	1.29047924937963	0.0107751665114762	0.975623409669211	0.975623409669211	1626	tags=22%, list=12%, signal=20%	OPN4/HLA-DQB1/TAS2R43/HLA-DPA1/PLXNA3/ACKR1/ACKR2/LYVE1/CD14/ITGB2/TLR3/ROR1/TMEM63A/HLA-DRB1/DRD2/ENG/FLT4/LYN/CHRNA4/CD74/TIE1/DDR2/MRC1/IL4R/ACVRL1/OR14I1/GPR179/CSF3R/IL17RA/FES/C5AR1/TNFRSF14/OPRK1/GPR45/PTPRC/LTB4R2/ADGRL4/P2RY12/IL13RA2/JAK3/GP6/TNFRSF1B/CSF1R/GRID2/FRK/ABCA7/IL10RA/HLA-DRA/SORCS2/P2RX4/GPR26/YES1/HTR2A/PTPN6/NPFFR1/FLT1/GPR85/SORCS1/NRP1/HTR7/PPARG/GABRA3/GPR22/VN1R1/GPR37/BCAM/HTR5A/TGFBR2/FGFR2/GABRG3/IL27RA/SSTR1/F3/IL10RB/NPY1R/TEK/ABCC9/GPRC5B/ERBB3/OPRL1/LPAR6/IL12RB1/EPHB2/CYSLTR1/PDGFRA/UNC5B/IL17RE/TGFBR1/GLRA3/CD200R1/EPHB3/GABRQ/TNK2/PECAM1/OXTR/MC1R/DYRK3/TLR1/IL1RL2/STK16
GO:0034062	5'-3' RNA polymerase activity	40	-0.719538887607818	-1.56321168823165	0.0132547088642522	0.975623409669211	0.975623409669211	1516	tags=15%, list=11%, signal=13%	RPAP1/POLR3A/POLR2L/MED20/POLR1B/POLR2J2
