ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO:0006403	RNA localization	158	-0.477520870831066	-1.7183804883864	6.39878961466723e-05	0.282314597799118	0.282314597799118	1810	tags=35%, list=20%, signal=29%	LRPPRC/AHCTF1/HNRNPA1/DDX39B/ZC3H11A/NSUN2/ATM/HSF1/CASC3/POM121C/PNPT1/NCBP1/HNRNPU/ATR/TCP1/TPR/ZC3H3/CKAP5/NUP205/AGFG1/DDX25/PCID2/SUPT6H/EXOSC10/SHQ1/RUVBL1/NUP93/NUP43/SIDT2/ATXN2/NUP85/NUP214/TSC1/NUP210/NUP88/NOL6/HNRNPA2B1/DHX9/NOP58/NUP98/RAE1/NUP155/NXF1/XPO5/CCT8/NPIPA1/NUP188/NUP160/SMG1/TERF1/SMG6/GLE1/BICD1/THOC3/RBFOX1/PIH1D1
GO:1900027	regulation of ruffle assembly	17	-0.807466860788596	-1.95210996338191	0.000239888147880028	0.445451330244085	0.445451330244085	426	tags=24%, list=5%, signal=22%	CYFIP1/PLEKHM1/SH3YL1/EVL
GO:0022029	telencephalon cell migration	32	-0.674073235887923	-1.90257760688302	0.000328485440475433	0.445451330244085	0.445451330244085	691	tags=34%, list=8%, signal=32%	SUN2/SRGAP2C/CXCL12/SLIT2/PEX13/NRG3/LAMB1/ZMIZ1/EFHC1/LRRK2/LRP8
GO:0031503	protein-containing complex localization	175	-0.430428422802713	-1.56410750658576	0.000587519592999572	0.445451330244085	0.445451330244085	1704	tags=31%, list=19%, signal=26%	DDX39B/ZC3H11A/ZDHHC3/NSUN2/AKAP9/ATM/CLSTN1/PCM1/DLG2/NCBP1/HNRNPU/TTC21B/ATR/TPR/DNM3/AGFG1/DDX25/PCID2/SUPT6H/NUP93/IFT57/IFT20/MIOS/LGI1/ANKS1B/NUP85/NUP214/TSC1/IFT46/AP2B1/IFT74/NUP88/NOL6/HNRNPA2B1/MAPK10/WASHC5/RAE1/NUP155/DLG3/NXF1/WDR19/NUP160/SMG1/DYNC2H1/TERF1/NUMB/SMG6/GLE1/SSX2IP/IFT172/RPGR/AP2M1/IFT140/THOC3/SNAP25
GO:0007030	Golgi organization	113	-0.485500036122284	-1.66530517143611	0.000603268707213934	0.445451330244085	0.445451330244085	1446	tags=30%, list=16%, signal=26%	TBC1D20/MAPK3/AKAP9/GOLGB1/CSNK1D/PRMT5/DNM2/TRIP11/OPTN/BCAS3/TMED9/ZW10/CLASP1/ARFGEF1/CAMSAP3/FAM174B/HTT/USP6NL/COG2/GAK/COG7/SYNE1/GORASP1/SEC16A/GBF1/DYM/GOLGA2/ATP8B2/LMAN2L/DYNC2H1/COG3/LRRK2/GOLGA8A/PDE4DIP
GO:0051236	establishment of RNA localization	127	-0.465701808570337	-1.6268710476622	0.000868308926804868	0.445451330244085	0.445451330244085	1810	tags=37%, list=20%, signal=30%	LRPPRC/AHCTF1/HNRNPA1/DDX39B/ZC3H11A/NSUN2/ATM/HSF1/CASC3/POM121C/PNPT1/NCBP1/ATR/TPR/ZC3H3/CKAP5/NUP205/AGFG1/DDX25/PCID2/SUPT6H/NUP93/NUP43/SIDT2/ATXN2/NUP85/NUP214/TSC1/NUP210/NUP88/NOL6/HNRNPA2B1/DHX9/NUP98/RAE1/NUP155/NXF1/XPO5/NPIPA1/NUP188/NUP160/SMG1/TERF1/SMG6/GLE1/THOC3/RBFOX1
GO:0021885	forebrain cell migration	33	-0.663518794368228	-1.88266721338382	0.000913574737118981	0.445451330244085	0.445451330244085	691	tags=33%, list=8%, signal=31%	SUN2/SRGAP2C/CXCL12/SLIT2/PEX13/NRG3/LAMB1/ZMIZ1/EFHC1/LRRK2/LRP8
GO:0002367	cytokine production involved in immune response	29	0.660509673293878	1.85999367752082	0.00115395194165815	0.445451330244085	0.445451330244085	108	tags=14%, list=1%, signal=14%	HLA-A/SEMA7A/NR4A3/MALT1
GO:0002718	regulation of cytokine production involved in immune response	29	0.660509673293878	1.85999367752082	0.00115395194165815	0.445451330244085	0.445451330244085	108	tags=14%, list=1%, signal=14%	HLA-A/SEMA7A/NR4A3/MALT1
GO:0050808	synapse organization	277	-0.382560299233807	-1.46408214329475	0.00122877975808058	0.445451330244085	0.445451330244085	1348	tags=23%, list=15%, signal=21%	CTNNB1/FRMPD4/PRRT1/L1CAM/DNM3/KIRREL3/ADGRB1/GNPAT/ACHE/ABHD17B/DNAJA3/PPFIA2/ITSN1/NRP2/NFASC/SSH1/LRRTM4/PPP1R9A/TANC1/CLSTN3/SEZ6/PLXNB2/NTRK3/PPFIA1/ANK3/TSC1/PCDH17/ALS2/PPFIBP1/UNC13B/IL1RAP/EPHA7/IGF1R/NLGN4X/ADGRL1/DRP2/ADGRB3/SETD5/UNC13C/LRFN5/DLG3/CYFIP1/SEMA4A/PTPRF/ADGRL2/CLSTN2/NRXN2/CACNB2/TIAM1/DSCAM/DLG5/GABRB3/SYN1/PCLO/CNKSR2/NRCAM/ANAPC2/SLIT1/UBE3A/IGSF21/LRRK2/PTPRO/CDH9/LRP8/CAST
