Tissue	Feature	OR	PValue	FDR
Caudate	Gene	2.106685031356082	1.0508514664093997e-27	1.4011352885458662e-27
Caudate	Transcript	2.840608532471306	1.538586749780348e-139	3.516769713783653e-139
Caudate	Exon	2.7721378299788597	1e-323	4e-323
Caudate	Junction	3.3784426488859554	1e-323	4e-323
Dentate Gyrus	Gene	2.6560033322919923	2.1279901955996805e-08	2.2698562086396593e-08
Dentate Gyrus	Transcript	4.1746056429408815	1.0034480574375386e-23	1.2350129937692783e-23
Dentate Gyrus	Exon	3.8960303366563775	7.169725534494921e-106	1.274617872799097e-105
Dentate Gyrus	Junction	5.077414070063084	2.7205102440945495e-66	3.957105809592072e-66
DLPFC	Gene	1.9838498489278102	2.8834547498046644e-17	3.2953768569196166e-17
DLPFC	Transcript	3.319626647697944	4.7540161171000597e-113	9.508032234200119e-113
DLPFC	Exon	3.109501155478971	1e-323	4e-323
DLPFC	Junction	4.062536562763413	1.1769137314845395e-252	3.7661239407505265e-252
Hippocampus	Gene	1.5742764361489487	3.410612425003788e-08	3.410612425003788e-08
Hippocampus	Transcript	2.6515462620258963	1.6308225180991635e-83	2.6093160289586616e-83
Hippocampus	Exon	2.516887092916313	1e-323	4e-323
Hippocampus	Junction	3.4955481610460084	8.848545589651838e-221	2.35961215724049e-220
